candidate_name,party_name_expanded,secured_votes,percentage_of_votes,state_name,constituency_name,party_name
MOHD YOUSUF BHAT,Gana Suraksha Party,1898,0.28,Jammu and Kashmir,SRINAGAR,GSP
WAHEEDA TABASUM SHAH,Independent,1606,0.24,Jammu and Kashmir,SRINAGAR,IND
NISAR AHMAD AHANGAR,Independent,1124,0.17,Jammu and Kashmir,SRINAGAR,IND
MIRZA SAJAD HUSSAIN BEIGH,Independent,1064,0.16,Jammu and Kashmir,SRINAGAR,IND
GHULAM MOHAMMAD WANI,Independent,1040,0.15,Jammu and Kashmir,SRINAGAR,IND
AMIN DAR,Independent,996,0.15,Jammu and Kashmir,SRINAGAR,IND
JAVEED AHMAD WANI,Independent,932,0.14,Jammu and Kashmir,SRINAGAR,IND
YOUNIS AHMAD MIR,Bharat Jodo Party,925,0.14,Jammu and Kashmir,SRINAGAR,BJP
DR QAZI ASHRAF,Independent,919,0.14,Jammu and Kashmir,SRINAGAR,IND
NOTA,None of the Above,5998,0.89,Jammu and Kashmir,SRINAGAR,NA
DR JITENDRA SINGH,Bharatiya Janata Party,571076,51.28,Jammu and Kashmir,UDHAMPUR,BJP
CH LAL SINGH,Indian National Congress,446703,40.11,Jammu and Kashmir,UDHAMPUR,INC
GHULAM MOHD SAROORI,Independent,39599,3.56,Jammu and Kashmir,UDHAMPUR,IND
MEHRAJ DIN,Independent,9082,0.82,Jammu and Kashmir,UDHAMPUR,IND
AMIT KUMAR,Bahujan Samaj Party,8642,0.78,Jammu and Kashmir,UDHAMPUR,BSP
MOHD ALI GUJJAR,Independent,7158,0.64,Jammu and Kashmir,UDHAMPUR,IND
MANOJ KUMAR,Ekam Sanatan Bharat Dal,6834,0.61,Jammu and Kashmir,UDHAMPUR,ESBD
BALWAN SINGH,Jammu & Kashmir National Panthers Party (Bhim),3292,0.3,Jammu and Kashmir,UDHAMPUR,J&KNPP (B)
SWARN VEER SINGH JARAL,Independent,3088,0.28,Jammu and Kashmir,UDHAMPUR,IND
DR PANKAJ SHARMA,Independent,2247,0.2,Jammu and Kashmir,UDHAMPUR,IND
RAJESH MANCHANDA,Independent,1605,0.14,Jammu and Kashmir,UDHAMPUR,IND
SACHIN GUPTA,Independent,1463,0.13,Jammu and Kashmir,UDHAMPUR,IND
NOTA,None of the Above,12938,1.16,Jammu and Kashmir,UDHAMPUR,NA
KALI CHARAN SINGH,Bharatiya Janata Party,574556,52.89,Jharkhand,Chatra,BJP
KRISHNA NAND TRIPATHI,Indian National Congress,353597,32.55,Jharkhand,Chatra,INC
AMIT KUMAR SINGH,Independent,31991,2.94,Jharkhand,Chatra,IND
ARJUN KUMAR,Communist Party of India,14122,1.3,Jharkhand,Chatra,CPI
DR. ABHISHEK KUMAR SINGH,Independent,14106,1.3,Jharkhand,Chatra,IND
ARJUN PRAJAPATI,Independent,13328,1.23,Jharkhand,Chatra,IND
DEEPAK KUMAR GUPTA,Independent,12566,1.16,Jharkhand,Chatra,IND
NAGMANI,Bahujan Samaj Party,11950,1.1,Jharkhand,Chatra,BSP
CHANDAN KUMAR,Independent,6582,0.61,Jharkhand,Chatra,IND
MD ABUZAR KHAN,Independent,5823,0.54,Jharkhand,Chatra,IND
YOGESH KUMAR SINGH,Independent,5112,0.47,Jharkhand,Chatra,IND
BIMAL LAKRA,Ambedkarite Party of India,5014,0.46,Jharkhand,Chatra,API
KARMLAL ORAON,Peoples Party of India (Democratic),4010,0.37,Jharkhand,Chatra,PPI (D)
SUMIT KUMAR YADAV,Samata Party,3516,0.32,Jharkhand,Chatra,SP
SANJAY KUMAR SNEHI,Lokhit Adhikar Party,3216,0.3,Jharkhand,Chatra,LAP
MAHESH BANDO,Bahujan Mukti Party,3201,0.29,Jharkhand,Chatra,BMP
SRIRAM SINGH,Independent,2993,0.28,Jharkhand,Chatra,IND
DARSHAN GANJHU,Jharkhand Party,2817,0.26,Jharkhand,Chatra,JP
DULESHWAR SAW,Bharatheeya Jawan Kisan Party,2385,0.22,Jharkhand,Chatra,BJKP
LAW KUMAR PANDIT,Bhagidari Party(P),2380,0.22,Jharkhand,Chatra,BP
KAMDEO DIHO RANA,Rashtriya Jan Utkarsh Party,2309,0.21,Jharkhand,Chatra,RJUP
VIKRANT KUMAR SINGH,Independent,2289,0.21,Jharkhand,Chatra,IND
NOTA,None of the Above,8511,0.78,Jharkhand,Chatra,NA
DULU MAHATO,Bharatiya Janata Party,789172,55.26,Jharkhand,Dhanbad,BJP
ANUPAMA SINGH,Indian National Congress,457589,32.04,Jharkhand,Dhanbad,INC
MD. EKLAK ANSARI,Independent,79653,5.58,Jharkhand,Dhanbad,IND
JAGDISH RAWANI,Independent,27635,1.94,Jharkhand,Dhanbad,IND
JANAK SAH GOND,Independent,12764,0.89,Jharkhand,Dhanbad,IND
MD. ZAHIRUDDIN KHAN,Independent,6500,0.46,Jharkhand,Dhanbad,IND
MOHAN SINGH,Bahujan Samaj Party,5639,0.39,Jharkhand,Dhanbad,BSP
TULSI MAHTO,Independent,5375,0.38,Jharkhand,Dhanbad,IND
KAMASHEVAR PRA. VERMA,Independent,4004,0.28,Jharkhand,Dhanbad,IND
SUNAINA KINNAR,Independent,3462,0.24,Jharkhand,Dhanbad,IND
AKBAR ALI,Akhil Bhartiya Parivar Party,3041,0.21,Jharkhand,Dhanbad,ABPP
KRISHNA CHANDRA SINGH RAJ,Samata Party,2821,0.2,Jharkhand,Dhanbad,SP
ANINDITA DAS,Independent,2674,0.19,Jharkhand,Dhanbad,IND
REZAUL HAQUE,Lokhit Adhikar Party,2649,0.19,Jharkhand,Dhanbad,LAP
LAKSHMI DEVI,Independent,2605,0.18,Jharkhand,Dhanbad,IND
UMESH PASWAN,Independent,2560,0.18,Jharkhand,Dhanbad,IND
MOHAMMAD FAISHAL KHAN,Independent,1996,0.14,Jharkhand,Dhanbad,IND
RAJIB TIWARI,Socialist Unity Centre Of India (COMMUNIST),1890,0.13,Jharkhand,Dhanbad,SUCI (C)
DEEPAK KUMAR DAS,Peoples Party of India (Democratic),1735,0.12,Jharkhand,Dhanbad,PPI (D)
NITAI DUTTA,Independent,1743,0.12,Jharkhand,Dhanbad,IND
SANJAY KUMAR GIRI,Akhil Bharat Hindu Mahasabha,1627,0.11,Jharkhand,Dhanbad,ABHM
PERWEZ NEYYAR,Aazad Samaj Party (Kanshi Ram),1161,0.08,Jharkhand,Dhanbad,ASP (KR)
TRIDEV KR MAHTO,Independent,1144,0.08,Jharkhand,Dhanbad,IND
MOHAMMAD TAFAZUL HUSSAIN,Independent,681,0.05,Jharkhand,Dhanbad,IND
PREM PRAKASH PASWAN,Independent,533,0.04,Jharkhand,Dhanbad,IND
NOTA,None of the Above,7354,0.51,Jharkhand,Dhanbad,NA
NALIN SOREN,Jharkhand Mukti Morcha,547370,46.23,Jharkhand,Dumka,JMM
SITA MURMU,Bharatiya Janata Party,524843,44.32,Jharkhand,Dumka,BJP
MAHASHON MURMU,Independent,21372,1.8,Jharkhand,Dumka,IND
BABYLATA TUDU,Independent,19360,1.63,Jharkhand,Dumka,IND
RAJESH KISKU,Communist Party of India,11506,0.97,Jharkhand,Dumka,CPI
DR. SRILAL KISKU,Independent,9416,0.8,Jharkhand,Dumka,IND
PARESH MARANDI,Bahujan Samaj Party,7733,0.65,Jharkhand,Dumka,BSP
ANIL TUDU,Lokhit Adhikar Party,6818,0.58,Jharkhand,Dumka,LAP
SUSHANTI HEMBROM,Independent,5152,0.44,Jharkhand,Dumka,IND
MANOJ HEMBROM,Independent,4816,0.41,Jharkhand,Dumka,IND
BIREN MOHLI,Independent,4418,0.37,Jharkhand,Dumka,IND
RAJU EMANUEL MURMU,Ambedkarite Party of India,3060,0.26,Jharkhand,Dumka,API
KAMISHNAR MURMU,Independent,2516,0.21,Jharkhand,Dumka,IND
BAGHRAI SOREN,Independent,2256,0.19,Jharkhand,Dumka,IND
SANJAY TUDU,Independent,2174,0.18,Jharkhand,Dumka,IND
MUNNI HANSDA,Samata Party,1758,0.15,Jharkhand,Dumka,SP
NIRMAL SOREN,Independent,1713,0.14,Jharkhand,Dumka,IND
ALESH HANSDA,Indian National Socialistic Action Forces,1674,0.14,Jharkhand,Dumka,INSAF
JONATHAN MARDI,Peoples Party of India (Democratic),1651,0.14,Jharkhand,Dumka,PPI (D)
NOTA,None of the Above,4526,0.38,Jharkhand,Dumka,NA
CHANDRA PRAKASH CHOUDHARY,AJSU Party,451139,35.67,Jharkhand,Giridih,AP
MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha,370259,29.27,Jharkhand,Giridih,JMM
JAIRAM KUMAR MAHATO,Independent,347322,27.46,Jharkhand,Giridih,IND
KAMAL PRASAD,Bahujan Samaj Party,14074,1.11,Jharkhand,Giridih,BSP
SUBODH KUMAR YADAV,Independent,13106,1.04,Jharkhand,Giridih,IND
RAMESHWAR DUSADH,Independent,11020,0.87,Jharkhand,Giridih,IND
SUNITA TUDU,Independent,10944,0.87,Jharkhand,Giridih,IND
MD AINUL ANSARI,Bahujan Mukti Party,6939,0.55,Jharkhand,Giridih,BMP
DWARAKA PRASAD LALA,Independent,5627,0.44,Jharkhand,Giridih,IND
KALAWATI DEVI,Independent,5430,0.43,Jharkhand,Giridih,IND
GYANESHWAR PRASAD,Lokhit Adhikar Party,5356,0.42,Jharkhand,Giridih,LAP
SHIVJI PRASAD,Right to Recall Party,4254,0.34,Jharkhand,Giridih,RRP
PRAMOD RAM,Peoples Party of India (Democratic),3825,0.3,Jharkhand,Giridih,PPI (D)
USHA SINGH,Independent,3761,0.3,Jharkhand,Giridih,IND
PAPPU KUMAR NISHAD,Bhartiya Lokmat Rashtrwadi Party,3216,0.25,Jharkhand,Giridih,BLRP
SUBHASH KUMAR THAKUR,Sarv Samaj Party,2517,0.2,Jharkhand,Giridih,SSP
NOTA,None of the Above,6044,0.48,Jharkhand,Giridih,NA
NISHIKANT DUBEY,Bharatiya Janata Party,693140,49.57,Jharkhand,Godda,BJP
PRADEEP YADAV,Indian National Congress,591327,42.29,Jharkhand,Godda,INC
UDAY SHANKAR KHAWARE,Independent,26837,1.92,Jharkhand,Godda,IND
ARUN MARIK,Independent,17437,1.25,Jharkhand,Godda,IND
NILESH KUMAR GUPTA,Independent,10488,0.75,Jharkhand,Godda,IND
AVISEK ANAND JHA,Independent,9636,0.69,Jharkhand,Godda,IND
BAJRANGI MAHTHA,Bahujan Samaj Party,8175,0.58,Jharkhand,Godda,BSP
MUKESH KUMAR JHA,Independent,7366,0.53,Jharkhand,Godda,IND
KUMARI DILESHWARI,Ambedkarite Party of India,6581,0.47,Jharkhand,Godda,API
RAMESHWAR MANDAL,Peoples Party of India (Democratic),3316,0.24,Jharkhand,Godda,PPI (D)
SURAJ KUMAR AMAN,Bhagidari Party(P),3073,0.22,Jharkhand,Godda,BP
ARUN KUMAR,Nyaydharmsabha,2893,0.21,Jharkhand,Godda,N
DR. K. RANGAIAH,Independent,2210,0.16,Jharkhand,Godda,IND
BRAJKISHORE PANDIT,Akhil Bhartiya Manavadhikar Vichar Manch Party,2108,0.15,Jharkhand,Godda,ABMVMP
ANUP KUMAR,"Proutist Bloc, India",2007,0.14,Jharkhand,Godda,PBI
KALIPADA MURMU,Socialist Unity Centre Of India (COMMUNIST),1941,0.14,Jharkhand,Godda,SUCI (C)
KETAN KUMAR,Right to Recall Party,1898,0.14,Jharkhand,Godda,RRP
TIPLAL SAH,Lokhit Adhikar Party,1770,0.13,Jharkhand,Godda,LAP
GYANESHWAR JHA,Jagrook Janta Party,1640,0.12,Jharkhand,Godda,JJP
NOTA,None of the Above,4361,0.31,Jharkhand,Godda,NA
MANISH JAISWAL,Bharatiya Janata Party,654613,51.76,Jharkhand,Hazaribagh,BJP
JAI PRAKASH BHAI PATEL,Indian National Congress,377927,29.88,Jharkhand,Hazaribagh,INC
SANJAY KUMAR MEHTA,Independent,157977,12.49,Jharkhand,Hazaribagh,IND
SHASHI BHUSHAN KESHRI,Independent,15386,1.22,Jharkhand,Hazaribagh,IND
ANIRUDDH KUMAR,Communist Party of India,10468,0.83,Jharkhand,Hazaribagh,CPI
MD. MOIN UDDIN AHMAD,Bahujan Samaj Party,7438,0.59,Jharkhand,Hazaribagh,BSP
MD. SERAJ,Independent,5506,0.44,Jharkhand,Hazaribagh,IND
VINOD KUMAR RANA,Independent,4841,0.38,Jharkhand,Hazaribagh,IND
KUNJ BIHARI KUMAR,Lokhit Adhikar Party,4234,0.33,Jharkhand,Hazaribagh,LAP
CHHATHI DEVI,Akhil Bhartiya Parivar Party,3316,0.26,Jharkhand,Hazaribagh,ABPP
ABHISHEK KUMAR,Independent,2972,0.24,Jharkhand,Hazaribagh,IND
NISHANT KUMAR SINHA,Peoples Party of India (Democratic),2956,0.23,Jharkhand,Hazaribagh,PPI (D)
MANOJ KUMAR BEDIA,Independent,2578,0.2,Jharkhand,Hazaribagh,IND
BHUNESHWAR BEDIYA,Samata Party,2264,0.18,Jharkhand,Hazaribagh,SP
RAJ KUMAR,Jharkhand Party,1935,0.15,Jharkhand,Hazaribagh,JP
SHYAM BIHARI PRAJAPATI,Bhagidari Party(P),1839,0.15,Jharkhand,Hazaribagh,BP
PRAKASH SONI,Bhartiya Azad Sena,1217,0.1,Jharkhand,Hazaribagh,BAS
NOTA,None of the Above,7200,0.57,Jharkhand,Hazaribagh,NA
BIDYUT BARAN MAHATO,Bharatiya Janata Party,726174,56.84,Jharkhand,Jamshedpur,BJP
SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,466392,36.5,Jharkhand,Jamshedpur,JMM
INDRA DEO PRASAD,Independent,8469,0.66,Jharkhand,Jamshedpur,IND
ARUN MAHATO,Independent,7344,0.57,Jharkhand,Jamshedpur,IND
ANAND MUKHI,Independent,6352,0.5,Jharkhand,Jamshedpur,IND
PRANAV KUMAR MAHTO,Bahujan Samaj Party,6151,0.48,Jharkhand,Jamshedpur,BSP
BISHWANATH MAHATO,Independent,5331,0.42,Jharkhand,Jamshedpur,IND
ANGAD MAHATO,Amra Bangalee,4925,0.39,Jharkhand,Jamshedpur,AB
JUJHAR SOREN,Independent,4315,0.34,Jharkhand,Jamshedpur,IND
SUKUMAR SOREN,Bharat Adivasi Party,3894,0.3,Jharkhand,Jamshedpur,BAP
DHARMU TUDU,Ambedkarite Party of India,3291,0.26,Jharkhand,Jamshedpur,API
JITENDRA SINGH,Independent,3167,0.25,Jharkhand,Jamshedpur,IND
SANAKA MAHATO,Socialist Unity Centre Of India (COMMUNIST),3175,0.25,Jharkhand,Jamshedpur,SUCI (C)
MANOJ GUPTA,Lokhit Adhikar Party,2362,0.18,Jharkhand,Jamshedpur,LAP
SADHU CHARAN PAUL,Independent,2317,0.18,Jharkhand,Jamshedpur,IND
SAURAV VISHNU,Independent,2264,0.18,Jharkhand,Jamshedpur,IND
SHAIKH AKHIRUDDIN,Bahujan Maha Party,2108,0.16,Jharkhand,Jamshedpur,BMP
ASHOK KUMAR,Peoples Party of India (Democratic),2048,0.16,Jharkhand,Jamshedpur,PPI (D)
MAHESH KUMAR,Right to Recall Party,1960,0.15,Jharkhand,Jamshedpur,RRP
G JAYRAM DAS,Independent,1931,0.15,Jharkhand,Jamshedpur,IND
ARUN KUMAR SHARMA,Bhartiya Azad Sena,1801,0.14,Jharkhand,Jamshedpur,BAS
DOMAN CHANDRA BHAKAT,Bhagidari Party(P),1348,0.11,Jharkhand,Jamshedpur,BP
BABLU PRASAD DANGI,Independent,1152,0.09,Jharkhand,Jamshedpur,IND
GYAN SAGAR PRASAD,Independent,1044,0.08,Jharkhand,Jamshedpur,IND
PARWATI KISKU,Independent,988,0.08,Jharkhand,Jamshedpur,IND
NOTA,None of the Above,7326,0.57,Jharkhand,Jamshedpur,NA
KALI CHARAN MUNDA,Indian National Congress,511647,54.62,Jharkhand,Khunti,INC
ARJUN MUNDA,Bharatiya Janata Party,361972,38.64,Jharkhand,Khunti,BJP
SAVITRI DEVI,Bahujan Samaj Party,12300,1.31,Jharkhand,Khunti,BSP
BASANT KUMAR LONGA,Independent,10755,1.15,Jharkhand,Khunti,IND
ARPANA HANS,Jharkhand Party,8532,0.91,Jharkhand,Khunti,JP
PASTAR SANJAY KUMAR TIRKEY,Independent,4963,0.53,Jharkhand,Khunti,IND
BABITA KACHHAP,Bharat Adivasi Party,4594,0.49,Jharkhand,Khunti,BAP
NOTA,None of the Above,21919,2.34,Jharkhand,Khunti,NA
ANNPURNA DEVI,Bharatiya Janata Party,791657,57.79,Jharkhand,Kodarma,BJP
VINOD KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),414643,30.27,Jharkhand,Kodarma,CPI (M) (L)
MANOJ KUMAR,Independent,28612,2.09,Jharkhand,Kodarma,IND
JAI PRAKASH VERMA,Independent,23223,1.7,Jharkhand,Kodarma,IND
SITAN RABIDAS,Bahujan Samaj Party,13174,0.96,Jharkhand,Kodarma,BSP
SURENDRA KUMAR AGRAWAL,Independent,9656,0.7,Jharkhand,Kodarma,IND
SAHADAT ANSARI,Independent,8232,0.6,Jharkhand,Kodarma,IND
JAYNARAYAN DAS,Bahujan Mukti Party,6738,0.49,Jharkhand,Kodarma,BMP
AKLESHWAR SAW,Lokhit Adhikar Party,5601,0.41,Jharkhand,Kodarma,LAP
JITLAL KISKU,Independent,5333,0.39,Jharkhand,Kodarma,IND
MD. SAGIR,Independent,5044,0.37,Jharkhand,Kodarma,IND
AJAY KRISHNA,Moolniwasi Samaj Party,4541,0.33,Jharkhand,Kodarma,MSP
RAJESH,Independent,4233,0.31,Jharkhand,Kodarma,IND
RAMESHWAR PRASAD YADAV,Independent,4229,0.31,Jharkhand,Kodarma,IND
ASHISH KUMAR,Right to Recall Party,2896,0.21,Jharkhand,Kodarma,RRP
NOTA,None of the Above,42152,3.08,Jharkhand,Kodarma,NA
SUKHDEO BHAGAT,Indian National Congress,483038,49.95,Jharkhand,Lohardaga,INC
SAMIR ORAON,Bharatiya Janata Party,343900,35.56,Jharkhand,Lohardaga,BJP
CHAMRA LINDA,Independent,45998,4.76,Jharkhand,Lohardaga,IND
MAHENDRA ORAON,Communist Party of India,16793,1.74,Jharkhand,Lohardaga,CPI
SHANIYA ORAON,Independent,10911,1.13,Jharkhand,Lohardaga,IND
GIRJANANDAN URAON,Bahujan Samaj Party,9148,0.95,Jharkhand,Lohardaga,BSP
MARIANUS TIGGA,Independent,9131,0.94,Jharkhand,Lohardaga,IND
STEPHAN KINDO,Independent,7599,0.79,Jharkhand,Lohardaga,IND
BIHARI BHAGAT,Peoples Party of India (Democratic),7602,0.79,Jharkhand,Lohardaga,PPI (D)
RANJEET BHAGAT,Independent,5527,0.57,Jharkhand,Lohardaga,IND
RAMCHANDRA BHAGAT,Lokhit Adhikar Party,4310,0.45,Jharkhand,Lohardaga,LAP
PAWAN TIGGA,Independent,3713,0.38,Jharkhand,Lohardaga,IND
ARPAN DEO BHAGAT,Independent,2814,0.29,Jharkhand,Lohardaga,IND
ARJUN TOPPO,Independent,2747,0.28,Jharkhand,Lohardaga,IND
MANI MUNDA,Bhagidari Party(P),2510,0.26,Jharkhand,Lohardaga,BP
NOTA,None of the Above,11384,1.18,Jharkhand,Lohardaga,NA
VISHNU DAYAL RAM,Bharatiya Janata Party,770362,55.39,Jharkhand,Palamau,BJP
MAMTA BHUIYAN,Rashtriya Janata Dal,481555,34.63,Jharkhand,Palamau,RJD
KAMESHWAR BAITHA,Bahujan Samaj Party,40000,2.88,Jharkhand,Palamau,BSP
SANAN RAM,Lokhit Adhikar Party,17875,1.29,Jharkhand,Palamau,LAP
GANESH RAVI,Independent,17699,1.27,Jharkhand,Palamau,IND
BRAJESH KUMAR TURI,Rashtriya Samanta Dal,17566,1.26,Jharkhand,Palamau,RSD
VRINDA RAM,Peoples Party of India (Democratic),11270,0.81,Jharkhand,Palamau,PPI (D)
MAHENDRA BAITHA,Socialist Unity Centre Of India (COMMUNIST),5115,0.37,Jharkhand,Palamau,SUCI (C)
RAM VACHAN RAM,Bahujan Mukti Party,4953,0.36,Jharkhand,Palamau,BMP
NOTA,None of the Above,24343,1.75,Jharkhand,Palamau,NA
VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,613371,50.35,Jharkhand,Rajmahal,JMM
TALA MARANDI,Bharatiya Janata Party,435107,35.72,Jharkhand,Rajmahal,BJP
LOBIN HEMBRAM,Independent,42140,3.46,Jharkhand,Rajmahal,IND
GOPIN SOREN,Communist Party of India (Marxist),37291,3.06,Jharkhand,Rajmahal,CPI (M)
MAHESH PAHARIYA,Independent,14978,1.23,Jharkhand,Rajmahal,IND
AJIT MARANDI,Rashtriya Jansambhavna Party,11251,0.92,Jharkhand,Rajmahal,RJP
SEBASTION HEMBROM,Independent,9493,0.78,Jharkhand,Rajmahal,IND
MARIYAM MARANDI,Bahujan Samaj Party,8259,0.68,Jharkhand,Rajmahal,BSP
PAUL SOREN,All India Majlis-E-Ittehadul Muslimeen,7902,0.65,Jharkhand,Rajmahal,AIMM
DIPA TUDU,Independent,6856,0.56,Jharkhand,Rajmahal,IND
KHALIFA KISKU,Peoples Party of India (Democratic),4107,0.34,Jharkhand,Rajmahal,PPI (D)
VINOD KUMAR MANDAL,Lokhit Adhikar Party,3809,0.31,Jharkhand,Rajmahal,LAP
MUNSHI KISKU,Navyug Pragatisheel Morcha,2779,0.23,Jharkhand,Rajmahal,NPM
LILI HANSDA,Samata Party,2689,0.22,Jharkhand,Rajmahal,SP
NOTA,None of the Above,18217,1.5,Jharkhand,Rajmahal,NA
SANJAY SETH,Bharatiya Janata Party,664732,45.91,Jharkhand,Ranchi,BJP
YASHASWINI SAHAY,Indian National Congress,544220,37.59,Jharkhand,Ranchi,INC
DEVENDRA NATH MAHTO,Independent,132647,9.16,Jharkhand,Ranchi,IND
SOMA SINGH,Jai Maha Bharath Party,10341,0.71,Jharkhand,Ranchi,JMBP
NIPU SINGH,Rashtriya Jansangharsh Swaraj Party,7803,0.54,Jharkhand,Ranchi,RJSP
DHANANJAY BHAGAT GANDHI,Mera Adhikaar Rashtriya Dal,6799,0.47,Jharkhand,Ranchi,MARD
SHYAM BIHARI PRAJAPATI,Bhagidari Party(P),6530,0.45,Jharkhand,Ranchi,BP
MANOJ KUMAR,Bahujan Samaj Party,6427,0.44,Jharkhand,Ranchi,BSP
RAMHARI GOPE,Ambedkarite Party of India,6309,0.44,Jharkhand,Ranchi,API
ANJANI PANDEY,Independent,5397,0.37,Jharkhand,Ranchi,IND
SARWESHWARI SAHU,Ekam Sanatan Bharat Dal,4802,0.33,Jharkhand,Ranchi,ESBD
HARINATH SAHU,Lokhit Adhikar Party,4136,0.29,Jharkhand,Ranchi,LAP
HEMNTI DEVI,Samata Party,4080,0.28,Jharkhand,Ranchi,SP
RANJANA GIRI,Republican Party of India (A),3208,0.22,Jharkhand,Ranchi,RPI ()
BIRENDRA NATH MANJHI,Abua Jharkhand Party,3155,0.22,Jharkhand,Ranchi,AJP
DHARMENDRA TIWARY,Bhartiya Jantantra Morcha,3094,0.21,Jharkhand,Ranchi,BJM
PRAWEEN KACHHAP,Sampoorna Bharat Kranti Party,2944,0.2,Jharkhand,Ranchi,SBKP
PRABEEN CHANDRA MAHATO,Independent,2859,0.2,Jharkhand,Ranchi,IND
SANTOSH KUMAR JAISWAL,Independent,2787,0.19,Jharkhand,Ranchi,IND
PANKAJ KUMAR RAVI,Peoples Party of India (Democratic),2763,0.19,Jharkhand,Ranchi,PPI (D)
MANORANJAN BHATTACHARYA,Independent,2539,0.18,Jharkhand,Ranchi,IND
AINUL ANSARI,Independent,2537,0.18,Jharkhand,Ranchi,IND
BINOD ORAON,Bahujan Mukti Party,2589,0.18,Jharkhand,Ranchi,BMP
MINTU PASWAN,Socialist Unity Centre Of India (COMMUNIST),2164,0.15,Jharkhand,Ranchi,SUCI (C)
KOLESHWAR MAHTO,Independent,1708,0.12,Jharkhand,Ranchi,IND
KAMESHWAR PRASAD SAW,Independent,1646,0.11,Jharkhand,Ranchi,IND
ARSHAD AYUB,Independent,1412,0.1,Jharkhand,Ranchi,IND
NOTA,None of the Above,8153,0.56,Jharkhand,Ranchi,NA
JOBA MAJHI,Jharkhand Mukti Morcha,520164,51.62,Jharkhand,Singhbhum,JMM
GEETA KORA,Bharatiya Janata Party,351762,34.91,Jharkhand,Singhbhum,BJP
DAMODAR SINGH HANSDA,Independent,44292,4.4,Jharkhand,Singhbhum,IND
MADHAV CHANDRA KUNKAL,Independent,19834,1.97,Jharkhand,Singhbhum,IND
SANGRAM MARDI,Independent,16111,1.6,Jharkhand,Singhbhum,IND
PARDESHI LAL MUNDA,Bahujan Samaj Party,8742,0.87,Jharkhand,Singhbhum,BSP
DURGA LAL MURMU,Independent,4924,0.49,Jharkhand,Singhbhum,IND
CHITRASEN SINKU,Jharkhand Party,3210,0.32,Jharkhand,Singhbhum,JP
BISHWA VIJAY MARDI,Ambedkarite Party of India,3070,0.3,Jharkhand,Singhbhum,API
ASHA KUMARI RUNDA,Independent,2754,0.27,Jharkhand,Singhbhum,IND
KRISHNA MARDI,Jharkhand Mukti Morcha (Ulgulan),2615,0.26,Jharkhand,Singhbhum,JMM (U)
SUDHA RANI BESRA,Peoples Party of India (Democratic),2409,0.24,Jharkhand,Singhbhum,PPI (D)
BIR SINGH DEOGAM,Right to Recall Party,1927,0.19,Jharkhand,Singhbhum,RRP
PANMANI SINGH,Socialist Unity Centre Of India (COMMUNIST),1801,0.18,Jharkhand,Singhbhum,SUCI (C)
NOTA,None of the Above,23982,2.38,Jharkhand,Singhbhum,NA
GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,671039,50.93,Karnataka,Bagalkot,BJP
SAMYUKTA SHIVANAND PATIL,Indian National Congress,602640,45.74,Karnataka,Bagalkot,INC
NAGARAJ. S. KALKUTAGAR,Independent,5629,0.43,Karnataka,Bagalkot,IND
PARASHURAM. LAXMAN. NEELANAIK,Independent,5090,0.39,Karnataka,Bagalkot,IND
ANTHOSH SAVVASE,Uttama Prajaakeeya Party,4923,0.37,Karnataka,Bagalkot,UPP
JYOTI GULEDGUDDA,Independent,4645,0.35,Karnataka,Bagalkot,IND
M. B. SIDAGONI,Bahujan Samaj Party,4479,0.34,Karnataka,Bagalkot,BSP
DR. MUTTU. S. SURAKOD. (MADAR),Independent,3135,0.24,Karnataka,Bagalkot,IND
PRASHANT RAO,Independent,1914,0.15,Karnataka,Bagalkot,IND
DATTATREYA DASHARATHA TAVARE,Independent,1620,0.12,Karnataka,Bagalkot,IND
AMBROSE D' MELLO,Independent,1205,0.09,Karnataka,Bagalkot,IND
KENGANAL. MALLIKARJUN. BHIMAPPA,Independent,1207,0.09,Karnataka,Bagalkot,IND
MALLIKARJUN H. T.,Socialist Unity Centre Of India (COMMUNIST),1144,0.09,Karnataka,Bagalkot,SUCI (C)
RAJESAB BURANSAB. MASALI,Independent,992,0.08,Karnataka,Bagalkot,IND
SHARANAPPA MALLAPPA KOTLANNAVAR,Independent,832,0.06,Karnataka,Bagalkot,IND
RAVI SHIVAPPA PADASALAGI,Independent,656,0.05,Karnataka,Bagalkot,IND
SAIYYAD IMAMSAB JAKALI,Tipu Sultan Party,550,0.04,Karnataka,Bagalkot,TSP
ABDULAZIZ KALADAGI PENDARI,Independent,529,0.04,Karnataka,Bagalkot,IND
MUTTAPPA MUDAKAPPA HIREKUMBI,Raita Bharat Party,518,0.04,Karnataka,Bagalkot,RBP
SAGAR. BASAPPA. KUMBAR,Karnataka Rashtra Samithi,499,0.04,Karnataka,Bagalkot,KRS
S. M. MARIGOUDAR,Desh Prem Party,454,0.03,Karnataka,Bagalkot,DPP
SHANKAR. VENKAPPA. NAIKAR.,Republican Party of India (A),441,0.03,Karnataka,Bagalkot,RPI ()
